Title, Category, Opinions
"ZNP nie rezygnuje ze strajku. ""Nie zachodzą żadne okoliczności, by o tym dyskutować""","Polityka","0"
"Wojciechowska i Sukiennik z NBP dostają pogróżki. Zastraszanie pracownic Glapińskiego bada prokuratura","Polityka","0"
"Sondaż: Koalicja Europejska wygrywa wybory do PE w Wielkopolsce. Kopacz z najwyższym poparciem","Polityka","0"
"Co Beata Szydło proponuje strajkującym nauczycielom? Więcej pracy, a podwyżka za kilka lat","Polityka","0"
"Dariusz Rosati w Gazeta.pl o podwyżkach dla nauczycieli: Jak PiS nie da, to my damy. Gwarantuję","Polityka","0"
"Rusza kolejna tura rozmów nauczycieli z rządem. ZNP: Zaproponowaliśmy maksymalne ustępstwo","Polityka","0"
"PO złoży wniosek o odwołanie Anny Zalewskiej. ""Za zniszczenie polskiej szkoły""","Polityka","0"
"PO chce zlikwidować TVP i Polskie Radio. ""Inaczej tej stajni Augiasza się nie da posprzątać""","Polityka","0"
"Dobre pomysły w fatalnym opakowaniu. ""Siódemka Wiosny"" nie zbawi partii Biedronia [ANALIZA]","Polityka","0"
"Koalicja Europejska ogłosiła hasło i program. Mazurek: Puszą się, że w tej UE tyle mogą","Polityka","0"
"Gliński zabiera głos ws. wyroku sądu dotyczącego zwrotu 300 tys. zł organizatorowi festiwalu Malta","Polityka","0"
"Koniec strajku głodowego nauczycieli w Krakowie. ""Nie ma powodu do kontynuowania""","Polityka","0"
"Jerzy Owsiak w Gazeta.pl o wpłacających na WOŚP: Połowa jest za Platformą, połowa za PiS","Polityka","0"
"Sejm uchwalił ""Jarkowe"". Nawet Rafalska nie wie, czy to dar na Dzień Matki, czy na eurowybory","Polityka","0"
"Prokuratura ponownie rozpatrzy pobicie 14 kobiet na Marszu Niepodległości. Wcześniej śledztwo umorzono","Polityka","0"
"Brudziński pytany o Falentę pokpiwa z Rutkowskiego: Ja nie prowadzę zakładu fryzjerskiego","Polityka","0"
"Jakub Stefaniak: PiS szuka ""wrogów"", za chwilę Kaczyński powie, że ufoludki zaatakują Polskę","Polityka","0"
"Morawiecki bronił Ardanowskiego. Mówił też o emerytach: pani Halina będzie mogła pojechać do Medziugorie","Polityka","0"
"CBA złożyło zawiadomienie ws. Wojciecha J. Były agent twierdzi, że w centrali zatuszowano skandal","Polityka","0"
"Ardanowski o protestujących rolnikach: ""Pustka intelektualna"". Lider AGROUnii odpowiada","Polityka","0"
"Kolejni goście z zagranicy na Nowogrodzkiej. Spotkanie Kaczyńskiego i Fratelli d'Italia","Polityka","0"
"Piotr Duda zapowiada protesty. ""Jest piątka Kaczyńskiego, my chcemy piątki Solidarności""","Polityka","0"
"Premier bronił ""Emerytury+"". Opowiedział o pielgrzymce do Medjugorie i 71-letnim debiutancie","Polityka","0"
"Postępowanie Komisji Europejskiej. Ziobro: dotychczasowe procedury chroniły złodziei i przestępców","Polityka","0"
"Tadeusz Cymański o 13. emeryturze: Jest obietnica, że będzie co roku. Ale nie ma gwarancji","Polityka","0"
"Poseł Sylwester Chruszcz przeszedł do Klubu Parlamentarnego Prawa i Sprawiedliwości","Polityka","0"
"Strajk nauczycieli. Wznowiono negocjacje związków z rządem. Zalewska: Jestem pełna nadziei","Polityka","0"
"Komisja Europejska: Postępowanie UE przeciwko Polsce. Za dyscyplinarki wobec sędziów","Polityka","0"
"Dr Paweł Kowal: Wchodzimy w proces ""wielkiego rabanu"". Uczymy, że aby coś dostać, trzeba krzyczeć","Polityka","0"
"Sondaż: Polacy zagłosują na Annę Zalewską. PiS ma pewne dwa mandaty na Dolnym Śląsku i Opolszczyźnie","Polityka","0"
"Andrzej Halicki: Nie ma pełnej kwoty w budżecie. Trzeba się zastanowić, dla kogo 500 plus jest zbędne","Polityka","0"
"Nie będzie konwencji PiS w Przysusze. Stanisław Karczewski: Dowiedziałem się niedawno","Polityka","0"
"Czy Wiosna doczeka jesieni? Pierwszy poważny egzamin Biedronia w roli lidera partii","Polityka","0"
"Macierewicz mówił o polsko-ukraińskich śmigłowcach. PGZ dementuje. Żadnych prac nie było","Polityka","0"
"Stanisław Karczewski o rozmowach rządu z nauczycielami: Myślę, że się dogadają","Polityka","0"
"Dwa zawiadomienia do prokuratury na tekst ""NIE"" o marszałku Kuchcińskim","Polityka","0"
"PiS jest ""partią wolności""? Nie, jest partią obsesyjnego odgradzania się od świata [ANALIZA]","Polityka","0"
"Pawłowicz ""pomogła"" skazać Kamińskiego ws. afery gruntowej. Jej opinię prawną wykorzystał sędzia","Polityka","0"
"Rozmowy ws. podwyżek dla nauczycieli przerwane. ""Wzburzenie"" związkowców po decyzji Zalewskiej","Polityka","0"
"Beata Mazurek: Rekonstrukcja rządu jeszcze przed wyborami do Parlamentu Europejskiego","Polityka","0"
"Tomasz Siemoniak o Annie Zalewskiej: Powinna stać pod szkołą, a nie jeść mule w Brukseli","Polityka","0"
"ZNP i FZZ zrezygnowały z 1000 zł podwyżki dla nauczycieli. Na stole jest nowa propozycja","Polityka","0"
"Birgfellner ""czekał na prezesa PiS pod ścianą"". Gasiuk-Pihowicz: Groteskowa opowieść o Jarosławie Kaczyńskim","Polityka","0"
"Sąd orzekł o wszczęciu autolustracji Kazimierza Kujdy. Po informacjach o współpracy z SB","Polityka","0"
"Wybory do Europarlamentu. PiS jest na prowadzeniu, ale traci najwięcej głosów [SONDAŻ]","Polityka","0"
"Adam Andruszkiewicz tłumaczy, dlaczego nie oświadczył się w Polsce. ""Pielgrzymka do Watykanu""","Polityka","0"
"Andrzej Duda ma propozycję ws. nauczycieli. Chce, by byli traktowani jak wykładowcy i twórcy","Polityka","0"
"""Piątka plus"", czyli jak Kaczyński podręcznikowo przelicytował [ANALIZA]","Polityka","0"
"Rząd znalazł 667 mln złotych i proponuje 10 proc. podwyżki. Związki nauczycielskie: Nie aprobujemy","Polityka","0"
"Marek Kuchciński będzie pozywał za teksty o skandalu obyczajowym. ""Obrzydliwe insynuacje""","Polityka","0"
"Danuta Huebner o wygranej liberalnej Zuzany Czaputovej: Przyjmijmy, że Słowacja to pierwiosnek","Polityka","0"
"Atak na Wojciecha Kudelskiego. Magdalena Adamowicz apeluje: zatrzymajmy spiralę nienawiści","Polityka","0"
"Michał Dworczyk: W najbliższych dniach zapadnie decyzja o ewentualnej rekonstrukcji rządu","Polityka","0"
"Wybory do europarlamentu. Jest nowy sondaż. Koalicja Europejska wyprzedza Prawo i Sprawiedliwość","Polityka","0"
"Andrzej Duda w końcu złożył gratulacje nowej prezydent Słowacji. ""Życzę wielu sukcesów""","Polityka","0"
"""Siedział cierpliwie w kolejce, nazywa się Donald Tusk"". Nietypowe spotkanie na poczcie w Sopocie","Polityka","0"
"Słowacja. Nowa prezydent bez gratulacji od Dudy i Morawieckiego. W mediach społecznościowych cisza","Polityka","0"
"Były prezydent Siedlec zaatakowany nożem. Wojciech Kudelski trafił do szpitala","Polityka","0"
"RMF FM: Kaczyński obiecał Zalewskiej ""jedynkę"" w eurowyborach za to, że została szefową MEN","Polityka","0"
"IPN. Kierownictwo z wysokimi nagrodami. ""Fakt"": rozdano ponad pół miliona w rok","Polityka","0"
"Robert Biedroń chce opodatkować Kościół. ""Wprowadzimy księżom kasy fiskalne""","Polityka","0"
"Nie ma oficjalnych wyników wyborów na Ukrainie, ale rosyjscy politycy już wzywają do ich nieuznania","Polityka","0"
"Poseł Nowoczesnej skrytykował polską flagę w klapie marynarki dziennikarza TVP. ""To symbol PiS""","Polityka","0"
"Znamy ""jedynki"" SLD w wyborach europejskich. ""To ekipa, która wprowadziła Polskę do UE""","Polityka","0"
"Na kogo zagłosują Ukraińcy mieszkający w Polsce? Zapytaliśmy o to pięcioro z nich","Polityka","0"
"Ukraina pięć lat po Majdanie. ""To nie jest państwo, o które Ukraińcy walczyli"" [WYWIAD]","Polityka","0"
"Adam Andruszkiewicz oświadczył się w Rzymie. Pokazał zdjęcie z wybranką. ""Powiedziała tak""","Polityka","0"
"W Gdańsku protest przeciwko ""dobrej zmianie"". Wśród rekwizytów m.in. ""dwie wieże"" Kaczyńskiego","Polityka","0"
"Kaczyński z Morawieckim obiecują wolność w internecie. Komentarze: ""Sprytny zabieg"", ""Falenta bije brawo""","Polityka","0"
"Konwencja PiS w Gdańsku. Miało być rozszerzenie Piątki Kaczyńskiego. Prezes obiecał ""wolność""","Polityka","0"
"Konwencja Platformy Obywatelskiej we Wrocławiu. Grzegorz Schetyna obiecał 1000 zł dla nauczycieli","Polityka","0"
"Jest nowy sondaż o zakazie handlu we wszystkie niedziele. Duża część elektoratu PiS jest przeciwko","Polityka","0"
"""Kaczyński podrażniony. Na 90 proc. podjął decyzję"". Znów spekulacje o dymisjach w rządzie. Trzy nazwiska","Polityka","0"
